Draw Date,Ticket Date,Weekday,Lottery,Numbers Drawn,Bonus Number,Played,Group Picks,Bet Amounts,Matched Numbers,Correct vs Incorrect,Group Prizes,Winnings,FreePlay,BetAmount vs Winnings
25 Jan 2023,25 Jan 2023,Wednesday,Lotto 6/49,"[5, 13, 24, 33, 35, 41]",43,True,"[[3, 7, 13, 22, 31, 42]]",[3.0],"{'Line_1': {'Number_Matches_1': [13], 'Bonus_Match_1': []}}",['1/6'],[0],0,0,-3.0
28 Jan 2023,28 Jan 2023,Saturday,Lotto 6/49,"[5, 12, 15, 26, 46, 48]",17,True,"[[6, 9, 13, 21, 25, 47], [1, 3, 11, 18, 22, 49]]","[3.0, 3.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}}","['0/6', '0/6']","[0, 0]",0,0,-6.0
04 Feb 2023,04 Feb 2023,Saturday,Lotto 6/49,"[11, 13, 29, 31, 42, 47]",17,True,"[[5, 16, 27, 41, 44, 48], [1, 15, 19, 22, 43, 48], [16, 21, 24, 29, 40, 42]]","[3.0, 3.0, 3.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [29, 42], 'Bonus_Match_3': []}}","['0/6', '0/6', '2/6']","[0, 0, 'Free Play']",0,1,-9.0
08 Feb 2023,08 Feb 2023,Wednesday,Lotto 6/49,"[6, 12, 19, 24, 38, 47]",27,True,"[[3, 10, 29, 36, 41, 45], [2, 3, 12, 23, 27, 35]]",[3.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [12], 'Bonus_Match_2': [27]}}","['0/6', '1/6+Bonus']","[0, 0]",0,0,-3.0
11 Feb 2023,11 Feb 2023,Saturday,Lotto 6/49,"[4, 17, 21, 27, 32, 42]",30,True,"[[2, 13, 20, 26, 30, 46], [14, 15, 22, 23, 29, 41], [10, 23, 24, 25, 34, 38]]","[3.0, 6.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': [30]}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [], 'Bonus_Match_3': []}}","['0/6+Bonus', '0/6', '0/6']","[0, 0, 0]",0,0,-9.0
18 Feb 2023,18 Feb 2023,Saturday,Lotto 6/49,"[3, 5, 7, 10, 26, 39]",22,True,"[[13, 21, 32, 38, 42, 45], [11, 20, 34, 37, 42, 48]]","[3.0, 6.0]","{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [], 'Bonus_Match_2': []}}","['0/6', '0/6']","[0, 0]",0,0,-9.0
22 Feb 2023,22 Feb 2023,Wednesday,Lotto 6/49,"[3, 19, 24, 25, 27, 43]",34,True,"[[1, 5, 15, 20, 22, 28]]",[3.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}}",['0/6'],[0],0,0,-3.0
25 Feb 2023,25 Feb 2023,Saturday,Lotto 6/49,"[2, 23, 24, 25, 39, 40]",21,True,"[[3, 7, 13, 22, 31, 42]]",[3.0],"{'Line_1': {'Number_Matches_1': [], 'Bonus_Match_1': []}}",['0/6'],[0],0,0,-3.0
01 Mar 2023,01 Mar 2023,Wednesday,Lotto 6/49,"[3, 8, 10, 14, 34, 35]",44,True,"[[5, 9, 19, 23, 34, 43]]",[0.0],"{'Line_1': {'Number_Matches_1': [34], 'Bonus_Match_1': []}}",['1/6'],[0],0,0,-0.0
04 Mar 2023,04 Mar 2023,Saturday,Lotto 6/49,"[3, 9, 19, 22, 37, 43]",27,True,"[[1, 3, 11, 23, 31, 34], [5, 15, 18, 19, 29, 47], [2, 6, 8, 23, 30, 37]]",[0.0],"{'Line_1': {'Number_Matches_1': [3], 'Bonus_Match_1': []}, 'Line_2': {'Number_Matches_2': [19], 'Bonus_Match_2': []}, 'Line_3': {'Number_Matches_3': [37], 'Bonus_Match_3': []}}","['1/6', '1/6', '1/6']","[0, 0, 0]",0,0,-0.0
